下单乘客ID,服务订单,流水,最近坐车时间
1007524,33,3914.00000000000000000000,2023-05-31
831274,33,2672.00000000000000000000,2023-05-31
1310184,33,1260.00000000000000000000,2023-05-31
331518,33,2615.00000000000000000000,2023-05-30
1306963,33,1190.00000000000000000000,2023-05-27
988307,33,1185.00000000000000000000,2023-05-19
319575,33,1160.00000000000000000000,2023-05-28
447926,32,1135.00000000000000000000,2023-05-26
597253,32,1290.00000000000000000000,2023-05-28
1209990,32,1410.00000000000000000000,2023-05-21
385704,32,1125.00000000000000000000,2023-05-29
386405,32,2738.00000000000000000000,2023-05-31
819187,32,1160.00000000000000000000,2023-05-27
450741,32,1200.00000000000000000000,2023-05-30
1229879,32,1120.00000000000000000000,2023-05-21
795245,32,3703.00000000000000000000,2023-02-05
802297,32,1130.00000000000000000000,2023-05-28
387844,32,1290.00000000000000000000,2023-05-29
1223823,32,1183.00000000000000000000,2023-05-21
1018488,32,1654.00000000000000000000,2023-05-28
224662,32,1280.00000000000000000000,2023-05-28
194015,32,1135.00000000000000000000,2023-05-26
766552,32,1848.00000000000000000000,2023-05-23
441990,32,1165.00000000000000000000,2023-05-29
330948,32,1203.00000000000000000000,2023-05-30
231050,31,1629.00000000000000000000,2023-05-30
790871,31,1210.00000000000000000000,2023-05-31
454064,31,1345.00000000000000000000,2023-05-28
520357,31,1658.00000000000000000000,2023-05-31
1340634,31,4148.00000000000000000000,2023-05-16
664288,31,1115.00000000000000000000,2023-05-28
1142064,31,1120.00000000000000000000,2023-05-26
1012807,31,1551.00000000000000000000,2023-05-28
596201,31,1580.00000000000000000000,2023-05-26
835881,31,1308.00000000000000000000,2023-05-28
260911,31,1501.00000000000000000000,2023-05-28
690558,31,2214.00000000000000000000,2023-05-21
879917,31,1285.00000000000000000000,2023-05-27
1124414,31,1386.00000000000000000000,2023-05-29
163026,31,1260.00000000000000000000,2023-05-29
386831,31,3423.00000000000000000000,2023-05-30
566229,31,2229.00000000000000000000,2023-05-30
436704,30,910.00000000000000000000,2023-05-26
394615,30,1350.00000000000000000000,2023-05-30
292685,30,1338.00000000000000000000,2023-05-28
1333974,30,1070.00000000000000000000,2023-05-20
385114,30,1125.00000000000000000000,2023-05-26
360504,30,1308.00000000000000000000,2023-05-19
389919,30,1355.00000000000000000000,2023-05-28
782518,30,1465.00000000000000000000,2023-05-28
1313233,30,1350.00000000000000000000,2023-05-31
983562,30,1060.00000000000000000000,2023-05-28
396603,30,1265.00000000000000000000,2023-05-26
221974,30,1200.00000000000000000000,2023-05-30
410619,30,1308.00000000000000000000,2023-05-30
499120,30,1505.00000000000000000000,2023-05-29
255851,30,1375.00000000000000000000,2023-05-29
565915,30,1365.00000000000000000000,2023-05-24
624924,30,1085.00000000000000000000,2023-05-31
927732,30,1055.00000000000000000000,2023-05-30
227251,30,1721.00000000000000000000,2023-05-04
1378213,30,1153.00000000000000000000,2023-05-28
1084015,30,1266.00000000000000000000,2023-05-27
620732,29,1050.00000000000000000000,2023-05-28
1192070,29,1015.00000000000000000000,2023-05-28
1013664,29,1015.00000000000000000000,2023-05-29
487659,29,1040.00000000000000000000,2023-05-28
1203355,29,1025.00000000000000000000,2023-05-28
258843,29,1391.00000000000000000000,2023-05-29
207374,29,1098.00000000000000000000,2023-05-31
627462,29,1706.00000000000000000000,2023-05-21
1036002,29,1030.00000000000000000000,2023-05-29
614308,29,1225.00000000000000000000,2023-05-15
687853,29,1070.00000000000000000000,2023-05-28
388295,29,1190.00000000000000000000,2023-05-31
636904,29,1015.00000000000000000000,2023-05-29
260084,29,1050.00000000000000000000,2023-05-28
1343709,29,1186.00000000000000000000,2023-05-08
1424740,29,1358.00000000000000000000,2023-05-28
1261191,29,1118.00000000000000000000,2023-05-28
881210,29,1402.00000000000000000000,2023-05-27
759458,28,1316.00000000000000000000,2023-05-01
